threshold,TP,TN,FP,FN,recall,specificity,precision,balanced_accuracy
0.45,47,0,20,0,1.0,0.0,0.7014925373134329,0.5
0.46,47,0,20,0,1.0,0.0,0.7014925373134329,0.5
0.47000000000000003,47,0,20,0,1.0,0.0,0.7014925373134329,0.5
0.48000000000000004,47,0,20,0,1.0,0.0,0.7014925373134329,0.5
0.49000000000000005,47,0,20,0,1.0,0.0,0.7014925373134329,0.5
0.5,47,0,20,0,1.0,0.0,0.7014925373134329,0.5
0.51,47,0,20,0,1.0,0.0,0.7014925373134329,0.5
0.52,47,0,20,0,1.0,0.0,0.7014925373134329,0.5
0.53,47,0,20,0,1.0,0.0,0.7014925373134329,0.5
0.54,47,1,19,0,1.0,0.05,0.7121212121212122,0.525
0.55,47,1,19,0,1.0,0.05,0.7121212121212122,0.525
0.56,47,2,18,0,1.0,0.1,0.7230769230769231,0.55
0.5700000000000001,47,2,18,0,1.0,0.1,0.7230769230769231,0.55
0.5800000000000001,47,3,17,0,1.0,0.15,0.734375,0.575
0.5900000000000001,47,5,15,0,1.0,0.25,0.7580645161290323,0.625
0.6000000000000001,47,6,14,0,1.0,0.3,0.7704918032786885,0.65
0.6100000000000001,47,9,11,0,1.0,0.45,0.8103448275862069,0.725
0.6200000000000001,47,12,8,0,1.0,0.6,0.8545454545454545,0.8
0.6300000000000001,46,13,7,1,0.9787234042553191,0.65,0.8679245283018868,0.8143617021276596
0.6400000000000001,46,15,5,1,0.9787234042553191,0.75,0.9019607843137255,0.8643617021276595
0.6500000000000001,45,19,1,2,0.9574468085106383,0.95,0.9782608695652174,0.9537234042553191
0.6600000000000001,45,19,1,2,0.9574468085106383,0.95,0.9782608695652174,0.9537234042553191
0.6700000000000002,44,19,1,3,0.9361702127659575,0.95,0.9777777777777777,0.9430851063829787
0.6800000000000002,43,19,1,4,0.9148936170212766,0.95,0.9772727272727273,0.9324468085106383
0.6900000000000002,43,19,1,4,0.9148936170212766,0.95,0.9772727272727273,0.9324468085106383
0.7000000000000002,39,19,1,8,0.8297872340425532,0.95,0.975,0.8898936170212766
0.7100000000000002,38,19,1,9,0.8085106382978723,0.95,0.9743589743589743,0.8792553191489361
0.7200000000000002,37,19,1,10,0.7872340425531915,0.95,0.9736842105263158,0.8686170212765958
0.7300000000000002,32,19,1,15,0.6808510638297872,0.95,0.9696969696969697,0.8154255319148935
0.7400000000000002,29,20,0,18,0.6170212765957447,1.0,1.0,0.8085106382978724
0.7500000000000002,25,20,0,22,0.5319148936170213,1.0,1.0,0.7659574468085106
